congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,party,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,hasc
102,House,14664,49,17,TX,100,D,0,1,"STENHOLM, Charles Walter",S000851,1938,2023,0.019,1,-288.93217,0.685,763,138,,0.052,0.999,0
102,House,29145,49,18,TX,100,D,0,1,"WASHINGTON, Craig Anthony",W000177,1941,,-0.766,-0.439,-127.01248,0.823,651,49,,-0.817,-0.521,0
102,House,14062,49,2,TX,100,D,0,1,"WILSON, Charles",W000570,1933,2010,-0.196,0.474,-188.5618,0.754,668,82,,-0.155,0.513,0
102,House,15450,54,5,TN,100,D,0,1,"CLEMENT, Robert Nelson",C000503,1943,,-0.216,0.327,-196.64122,0.765,734,89,,-0.184,0.259,0
102,House,15019,54,4,TN,100,D,0,1,"COOPER, James Hayes Shofner",C000754,1954,,-0.164,-0.033,-262.49982,0.7037,747,120,,-0.133,0.111,0
102,House,15455,54,2,TN,200,R,0,1,"DUNCAN, John J., Jr.",D000533,1947,,0.604,-0.476,-357.42936,0.62978,773,142,,0.525,-0.078,0
102,House,14224,54,9,TN,100,D,0,1,"FORD, Harold Eugene",F000261,1945,,-0.438,-0.064,-135.38572,0.799,602,49,,-0.393,-0.322,0
102,House,15100,54,6,TN,100,D,0,1,"GORDON, Barton Jennings",G000309,1949,,-0.204,0.286,-139.13589,0.832,757,46,,-0.257,0.176,0
102,House,14251,54,3,TN,100,D,0,1,"LLOYD, Marilyn Laird",L000381,1929,2018,-0.058,0.452,-218.19788,0.729,690,98,,-0.061,0.447,1
102,House,10616,54,1,TN,200,R,0,1,"QUILLEN, James Henry",Q000013,1916,2003,0.246,0.23,-338.08579,0.62,707,150,,0.281,0.086,0
102,House,15066,54,7,TN,200,R,0,1,"SUNDQUIST, Donald Kenneth",S001075,1936,2023,0.371,-0.202,-206.26205,0.755,733,93,,0.378,-0.139,0
102,House,15628,54,8,TN,100,D,0,1,"TANNER, John S.",T000038,1944,,-0.182,0.648,-238.05364,0.726,745,122,,-0.118,0.618,1
102,House,15425,37,1,SD,100,D,0,1,"JOHNSON, Timothy Peter (Tim)",J000177,1946,2024,-0.25,0.143,-272.48421,0.703,772,128,,-0.18,0.047,0
102,House,14212,48,3,SC,100,D,0,1,"DERRICK, Butler Carson, Jr.",D000267,1936,2014,-0.215,0.258,-186.67966,0.783,765,71,,-0.231,0.185,0
102,House,15171,48,4,SC,100,D,0,1,"PATTERSON, Elizabeth J.",P000112,1939,2018,-0.055,0.229,-306.99272,0.67,767,152,,-0.053,0.261,0
102,House,15439,48,1,SC,200,R,0,1,"RAVENEL, Arthur, Jr.",R000072,1927,2023,0.162,-0.119,-285.98921,0.688,765,143,,0.133,-0.18,1
102,House,13042,48,2,SC,200,R,0,1,"SPENCE, Floyd Davidson",S000718,1928,2001,0.32,0.185,-217.01986,0.748,748,101,,0.304,0.107,1
102,House,15064,48,5,SC,100,D,0,1,"SPRATT, John McKee, Jr.",S000749,1942,2024,-0.256,0.255,-170.6036,0.8,764,72,,-0.211,0.204,1
102,House,15068,48,6,SC,100,D,0,1,"TALLON, Robert Mooneyhan, Jr. (Robin)",T000034,1946,,-0.1,0.366,-231.05783,0.715,688,109,,-0.143,0.417,0
102,House,15615,5,1,RI,200,R,0,1,"MACHTLEY, Ronald K.",M000015,1948,,0.113,-0.86,-279.6498,0.692,760,130,,0.091,-0.765,1
102,House,29142,5,2,RI,100,D,0,1,"REED, John F. (Jack)",R000122,1949,,-0.362,-0.166,-142.91875,0.831,772,59,,-0.315,-0.345,0
102,House,29140,14,2,PA,100,D,0,2,"BLACKWELL, Lucien Edward",B000517,1931,2003,-0.538,-0.216,-59.71892,0.874,445,22,,-0.56,-0.248,0
102,House,15008,14,3,PA,100,D,0,1,"BORSKI, Robert Anthony, Jr.",B000644,1948,,-0.416,0.406,-157.80158,0.814,765,69,,-0.382,0.411,0
102,House,14612,14,23,PA,200,R,0,1,"CLINGER, William Floyd, Jr.",C000523,1929,2021,0.176,-0.221,-312.87981,0.66,752,133,,0.219,-0.018,0
102,House,12010,14,13,PA,200,R,0,1,"COUGHLIN, Robert Lawrence",C000807,1929,2001,0.204,-0.844,-261.0874,0.682,682,128,,0.21,-0.541,0
102,House,14808,14,14,PA,100,D,0,1,"COYNE, William Joseph",C000846,1936,2013,-0.494,-0.119,-108.09067,0.868,765,41,,-0.502,0.054,0
102,House,14823,14,1,PA,100,D,0,1,"FOGLIETTA, Thomas Michael",F000235,1928,2004,-0.506,-0.057,-94.35905,0.874,701,36,,-0.547,-0.047,1
102,House,11067,14,20,PA,100,D,0,1,"GAYDOS, Joseph Matthew",G000105,1926,2015,-0.278,0.398,-182.68885,0.748,629,87,,-0.254,0.606,0
102,House,15026,14,17,PA,200,R,0,1,"GEKAS, George William",G000121,1930,2021,0.426,-0.295,-246.33107,0.721,752,105,,0.412,-0.425,0
102,House,14288,14,19,PA,200,R,0,1,"GOODLING, William Franklin",G000291,1927,2017,0.336,-0.494,-296.56367,0.67,740,132,,0.303,-0.367,0
102,House,14629,14,2,PA,100,D,0,1,"GRAY, William Herbert, III",G000402,1941,2013,-0.511,-0.219,-17.65232,0.878,136,6,,-0.49,0.163,0
102,House,15104,14,11,PA,100,D,0,1,"KANJORSKI, Paul E.",K000008,1937,,-0.303,0.364,-246.92292,0.727,776,110,,-0.279,0.414,0
102,House,15031,14,4,PA,100,D,0,1,"KOLTER, Joseph Paul",K000307,1926,2019,-0.28,0.388,-162.51114,0.765,608,79,,-0.284,0.682,0
