Name,Position,Service,Off_Svc,Year,Nom_Rcvd,Nom_Conf,Nom_Lag,Congress,POTUS,P_Party,S_Party,Vote_Type,Vote_Simple,DYes,Dno,Dnv,Ryes,Rno,Rnv,Sen_Pres,Renomination,Notes
"Abbot, Charles S.",DEUCOM,DoD,USN,1998,4/20/98,5/22/98,32,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Abizaid, John P.",CENTCOM,DoD,USA,2003,6/18/03,6/27/03,9,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Abrams, John N.",TRADOC,USA,USA,1998,7/7/98,7/30/98,23,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Abrams, Robert B.",FORSCOM,USA,USA,2015,6/4/15,6/23/15,19,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Alexander, Keith B.",CYBER,DoD,USA,2010,10/20/09,5/7/10,199,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Allen, John R.",USFORA,DoD,USMC,2011,6/8/11,6/30/11,22,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Allyn, Daniel B.",FORSCOM,USA,USA,2013,4/9/13,4/18/13,9,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Allyn, Daniel B.",VCSA,USA,USA,2014,7/7/14,7/23/14,16,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Amos, James F.",ACMC,USMC,USMC,2008,2/11/08,3/13/08,31,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Amos, James F.",CMC,USMC,USMC,2010,7/21/10,9/29/10,70,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Arthur, Stanley R.",PACOM,DoD,USN,1994,4/21/94,7/1/94,71,103,"Clinton, Bill",Democrat,Democrat,Withdrawn,Withdrawn,,,,,,,1,,
"Arthur, Stanley R.",VCNO,USN,USN,1992,4/28/92,7/2/92,65,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Ashy, Joseph W.",SPACE,DoD,USAF,1994,6/9/94,7/15/94,36,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Austin, Lloyd J., III",CENTCOM,DoD,USA,2013,1/23/13,3/5/13,41,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Austin, Lloyd J., III",USFI,DoD,USA,2010,5/18/10,6/30/10,43,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Austin, Lloyd J., III",VCSA,USA,USA,2011,10/5/11,11/10/11,36,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Babbitt, George T., Jr.",AFMC,USAF,USAF,1997,2/26/97,5/21/97,84,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Begert, William J.",PACAF,USAF,USAF,2001,4/6/01,5/1/01,25,107,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Bell, Burwell B., III",USAREUR,USA,USA,2002,10/8/02,10/17/02,9,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Bell, Burwell B., III",USFK,DoD,USA,2005,9/6/05,10/28/05,52,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Blair, Dennis C.",PACOM,DoD,USN,1998,7/17/98,9/25/98,70,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Boles, Billy J.",AFETC,USAF,USAF,1995,2/8/95,5/23/95,104,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Boomer, Walter E",ACMC,USMC,USMC,1992,8/4/92,8/12/92,8,102,"Bush, GHW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Boorda, Jeremy M.",CNO,USN,USN,1994,3/15/94,4/21/94,37,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Bowman, Frank L.",NNPP,USN,USN,1996,5/2/96,6/20/96,49,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Boyd, Charles G.",EUCOM,DoD,USAF,1992,9/17/92,10/6/92,19,102,"Bush, GHW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Brady, Roger A.",USAFE,USAF,USAF,2007,11/15/07,12/19/07,34,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Bramlett, David A.",FORCSOM,USA,USA,1996,5/9/96,6/20/96,42,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Breedlove, Philip M.",EUCOM,DoD,USAF,2013,4/8/13,4/18/13,10,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Breedlove, Philip M.",USAFE,USAF,USAF,2012,5/10/12,5/24/12,14,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Breedlove, Philip M.",VCSAF,USAF,USAF,2010,9/13/10,9/29/10,16,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Brooks, Vincent K.",USARPAC,USA,USA,2013,2/7/13,3/5/13,26,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Brooks, Vincent K.",USFK,DoD,USA,2016,4/4/16,4/28/16,24,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Brown, Bryan D.",SOCOM,DoD,USA,2003,6/18/03,7/31/03,43,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Brown, Robert B.",USARPAC,USA,USA,2016,4/14/16,4/28/16,14,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Butler, George L.",STRATCOM,DoD,USAF,1992,3/3/92,5/21/92,79,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Byrnes, Kevin P.",TRADOC,USA,USA,2002,9/24/02,10/1/02,7,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Caldwell Jr, James F.",NNPP,USN,USN,2015,7/21/15,8/5/15,15,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Campbell, Charles C.",FORSCOM,USA,USA,2006,9/21/06,9/29/06,8,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Campbell, John F.",USFORA,DoD,USA,2014,6/17/14,7/23/14,36,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Campbell, John F.",VCSA,USA,USA,2013,11/13/12,3/5/13,112,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Carlisle, Herbert J.",ACC,USAF,USAF,2014,7/14/14,7/23/14,9,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Carlisle, Herbert J.",PACAF,USAF,USAF,2012,1/23/12,6/29/12,158,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Carlson, Bruce A.",AFMC,USAF,USAF,2004,5/17/04,9/30/04,136,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Cartwright, James E.",STRATCOM,DoD,USMC,2004,6/15/04,7/8/04,23,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Cartwright, James E.",VCJCS,DoD,USMC,2007,6/28/07,8/3/07,36,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Casey, George W., Jr.",MNFI,DoD,USA,2004,6/14/04,6/24/04,10,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Casey, George W., Jr.",VCSA,USA,USA,2003,9/22/03,10/2/03,10,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Casey, George W., Jr.",CSA,USA ,USA,2007,1/16/07,2/8/07,23,110,"Bush, GW",Republican,Democrat,Rollcall,Rollcall,46,4,1,37,10,2,0,,
"Chandler, Carrol H.",PACAF,USAF,USAF,2007,4/30/07,11/16/07,200,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Chandler, Carrol H.",VCSAF,USAF,USAF,2009,5/14/09,6/19/09,36,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Chiarelli, Peter W.",VCSA,USA,USA,2008,4/30/08,6/4/08,35,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Chiles Jr, Henry G.",STRATCOM,DoD,USN,1994,2/3/94,2/9/94,6,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Chilton, Kevin P.",AFSC,USAF,USAF,2006,4/27/06,5/19/06,22,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Chilton, Kevin P.",STRATCOM,DoD,USAF,2007,7/25/07,9/28/07,65,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Clark, Vernon E.",CNO,USN,USN,2000,4/7/00,5/17/00,40,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Clark, Vernon E.",LANTFLT,USN,USN,1999,5/19/99,6/30/99,42,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Clark, Wesley K.",EUCOM,DoD,USA,1997,6/12/97,7/9/97,27,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Clark, Wesley K.",SOUTHCOM,DoD,USA,1996,4/19/96,6/20/96,62,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Clemins, Archie R.",PACFLT,USN,USN,1996,4/25/96,6/20/96,56,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Clingan, Bruce W.",NAVEUR,USN,USN,2012,1/31/12,2/17/12,17,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Coburn, John G.",AAMC,USAF,USA,1999,3/22/99,4/29/99,38,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Cody, Richard A.",VCSA,USA,USA,2004,6/14/04,6/24/04,10,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Cone, Robert W.",TRADOC,USA,USA,2011,3/16/11,4/14/11,29,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Conway, James T.",CMC,USMC,USMC,2006,6/14/06,8/2/06,49,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Cook, Donald G.",AETC,USAF,USAF,2001,10/30/01,11/29/01,30,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Corley, John D.W.",ACC,USAF,USAF,2007,6/21/07,8/1/07,41,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Corley, John D.W.",VCSAF,USAF,USAF,2005,6/28/05,7/29/05,31,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Craddock, Bantz J.",EUCOM,DoD,USA,2006,7/14/06,8/29/06,46,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Craddock, Bantz J.",SOUTHCOM,DoD,USA,2004,6/16/04,7/22/04,36,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Crouch, William W.",USAREUR,USA,USA,1994,7/28/94,9/23/94,57,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Crouch, William W.",VCSA,USA,USA,1997,6/19/97,7/24/97,35,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Dake, Terrence R.",ACMC,USMC,USMC,1998,4/20/98,5/22/98,32,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Davidson, Philip S.",FFC,USN,USN,2014,7/31/14,9/17/14,48,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Dempsey, Martin E.",CJCS,DoD,USA,2011,6/6/11,8/2/11,57,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Dempsey, Martin E.",CSA,USA ,USA,2011,2/7/11,3/16/11,37,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Dempsey, Martin E.",TRADOC,USA,USA,2008,7/10/08,7/23/08,13,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Donald, Kirkland H.",NNPP,USN,USN,2004,7/21/04,9/30/04,71,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Doran, Walter F.",PACFLT,USN,USN,2002,4/22/02,4/30/02,8,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Downing, Wayne A.",SOCOM,DoD,USA,1993,5/6/93,5/19/93,13,103,"Clinton, Bill",Democrat,Democrat,Unanimous Consent,Voice/UC,,,,,,,1,,
"Dunford, Joseph F., Jr.",ACMC,USMC,USMC,2010,8/3/10,9/29/10,57,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Dunford, Joseph F., Jr.",CJCS,DoD,USMC,2015,5/21/15,7/29/15,69,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Dunford, Joseph F., Jr.",CMC,USMC,USMC,2014,6/4/14,7/23/14,49,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Dunford, Joseph F., Jr.",USFORA,DoD,USMC,2012,11/13/12,12/3/12,20,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Dunwoody, Ann E.",AAMC,USAF,USA,2008,6/23/08,7/23/08,30,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Eberhart, Ralph E.",ACC,USAF,USAF,1999,4/15/99,4/29/99,14,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Eberhart, Ralph E.",NORTHCOM,DoD,USAF,2002,5/8/02,6/27/02,50,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Eberhart, Ralph E.",SPACE,DoD,USAF,1999,10/13/99,10/29/99,16,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Eberhart, Ralph E.",VCSAF,USAF,USAF,1997,4/14/97,5/21/97,37,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Ellis, James O.",NAVEUR,USN,USN,1998,6/11/98,6/25/98,14,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Ellis, James O.",STRATCOM,DoD,USN,2002,7/24/01,10/1/02,434,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Ellis, Larry R.",FORSCOM,USA,USA,2001,7/12/01,8/3/01,22,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Estes, Howell M., III",SPACE,DoD,USAF,1996,6/10/96,8/2/96,53,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Everhart, Carlton D., II",AFAMC,USAF,USAF,2015,7/15/15,7/27/15,12,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Fallon, William J.",CENTCOM,DoD,USN,2007,1/16/07,2/7/07,22,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Fallon, William J.",FFC,USN,USN,2003,4/28/03,6/27/03,60,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Fallon, William J.",PACOM,DoD,USN,2005,1/31/05,2/17/05,17,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Fallon, William J.",VCNO,USN,USN,2000,9/6/00,10/6/00,30,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Fargo, Thomas B.",PACFLT,USN,USN,1999,5/24/99,6/30/99,37,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Fargo, Thomas B.",PACOM,DoD,USN,2002,3/21/02,4/29/02,39,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Ferguson, Mark E., III",NAVEUR,USN,USN,2013,12/12/13,12/20/13,8,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Ferguson, Mark E., III",VCNO,USN,USN,2011,7/22/11,8/2/11,11,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Fitzgerald, Mark P.",NAVEUR,USN,USN,2007,7/30/07,9/28/07,60,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Flanagan, William J., Jr.",LANTFLT,USN,USN,1994,5/3/94,6/22/94,50,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Fogelman, Ronald R.",TRANSCOM,DoD,USAF,1992,8/4/92,8/12/92,8,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Fogleman, Ronald R.",CSAF,USAF,USAF,1994,8/25/94,10/7/94,43,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Foglesong, Robert H.",USAFE,USAF,USAF,2003,5/20/03,6/27/03,38,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Foglesong, Robert H.",VCSAF,USAF,USAF,2001,8/2/01,9/26/01,55,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Franks, Tommy R.",CENTCOM,DoD,USA,2000,5/17/00,6/27/00,41,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Fraser, Douglas M.",SOUTHCOM,DoD,USAF,2008,1/25/08,2/7/08,13,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Fraser, William M., III",ACC,USAF,USAF,2009,5/11/09,5/21/09,10,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Fraser, William M., III",TRANSCOM,DoD,USAF,2011,6/16/11,8/2/11,47,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Fraser, William M., III",VCSAF,USAF,USAF,2008,4/23/08,10/2/08,162,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Fulford, Carlton W., Jr.",DEUCOM,DoD,USMC,2000,5/17/00,6/27/00,41,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Gamble, Patrick K.",PACAF,USAF,USAF,1998,6/9/98,6/25/98,16,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Gehman, Harold W., Jr.",LANTCOM,DoD,USN,1997,7/31/97,9/23/97,54,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Gehman, Harold W., Jr.",VCNO,USN,USN,1996,6/27/96,9/6/96,71,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Giambastiani, Edmund P., Jr.",JFCOM,DoD,USN,2002,6/27/02,7/31/02,34,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Giambastiani, Edmund P., Jr.",JFCOM,DoD,USN,2003,5/22/03,6/18/03,27,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Giambastiani, Edmund P., Jr.",VCJCS,DoD,USN,2005,4/25/05,7/15/05,81,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Goldfein, David L.",CSAF,USAF,USAF,2016,4/25/16,6/29/16,65,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Goldfein, David L.",VCSAF,USAF,USAF,2015,4/20/15,5/31/15,41,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
