Name,Position,Service,Off_Svc,Year,Nom_Rcvd,Nom_Conf,Nom_Lag,Congress,POTUS,P_Party,S_Party,Vote_Type,Vote_Simple,DYes,Dno,Dnv,Ryes,Rno,Rnv,Sen_Pres,Renomination,Notes
"Jumper, John P.",ACC,USAF,USAF,1999,10/20/99,11/5/99,16,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Jumper, John P.",CSAF,USAF,USAF,2001,7/17/01,8/3/01,17,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Jumper, John P.",USAFE,USAF,USAF,1997,10/24/97,11/8/97,15,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Keane, John M.",VCSA,USA,USA,1999,5/6/99,5/26/99,20,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Keating, Timothy J.",NORTHCOM,DoD,USN,2004,6/15/04,7/22/04,37,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Keating, Timothy J.",PACOM,DoD,USN,2007,2/7/07,3/19/07,40,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Kehler, C. Robert",AFSC,USAF,USAF,2007,7/25/07,8/3/07,9,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Kehler, C. Robert",STRATCOM,DoD,USAF,2010,9/15/10,12/10/10,86,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Kelly, John F.",SOUTHCOM,DoD,USMC,2012,1/31/12,7/26/12,177,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Kern, Paul J.",AAMC,USAF,USA,2001,8/3/01,10/16/01,74,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Kernan, William F.",JFCOM,DoD,USA,2000,6/13/00,6/27/00,14,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Keys, Ronald E.",ACC,USAF,USAF,2005,3/14/05,5/26/05,73,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Kross, Walter",TRANSCOM,DoD,USAF,1996,4/15/96,6/20/96,66,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Krulak, Charles C.",CMC,USMC,USMC,1995,3/14/95,5/23/95,70,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Kutyna, Donald J.",NAADC,DoD,USAF,1992,4/28/92,5/21/92,23,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"LaPorte, Leon J.",USFK,DoD,USA,2002,4/11/02,4/29/02,18,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Lengyel, Joseph L.",NGB,DoD,USAF,2016,4/4/16,6/29/16,86,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Lichte, Arthur J.",AMC,USAF,USAF,2007,6/21/07,8/1/07,41,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Locklear, Samuel J, III",NAVEUR,USN,USN,2010,7/27/10,8/5/10,9,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Locklear, Samuel J, III",PACOM,DoD,USN,2012,1/23/12,2/17/12,25,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Loh, John M.",ACC,USAF,USAF,1992,3/3/92,4/8/92,36,102,"Bush, GHW",Republican,Democrat,Unanimous Consent,Voice/UC,,,,,,,0,,
"Looney, William R., III",AETC,USAF,USAF,2005,2/28/05,4/28/05,59,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Lopez, Thomas J.",NAVEUR,USN,USN,1996,6/10/96,6/28/96,18,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Lorber, John G.",AFPAC,USAF,USAF,1994,9/13/94,9/23/94,10,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Lord, Lance W.",AFSC,USAF,USAF,2002,2/15/02,2/27/02,12,107,"Bush, GW",Republican,,Voice,Voice/UC,,,,,,,0,,
"Lorenz, Stephen R.",AETC,USAF,USAF,2008,3/3/08,3/13/08,10,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Luck, Gary E.",USFK,DoD,USA,1993,5/6/93,5/20/93,14,103,"Clinton, Bill",Democrat,Democrat,Unanimous Consent,Voice/UC,,,,,,,1,,
